,SpeciesCode,Name,ReportedCommCatch_kg,TACC_kg,CustAllow_kg,RecAllow_kg,TargetFishery,BycatchFishery,InQMS,Year
422,LES,Lessonia,,,,, , ,No,2020
423,PRP,Porphyra,,,,, , ,No,2020
424,SOS,Sockeye salmon,,,,, , ,No,2020
425,HOK,Hoki,29523241,115010000,20000,20000,Yes,Yes,Yes,2021
426,SQU,Arrow squid,18836859,82120281,10000,10000,Yes,No,Yes,2021
427,LIN,Ling,8459815,24279000,23000,42000,Yes,Yes,Yes,2021
428,EMA,Blue mackerel,6466966,11550000,24000,47000,Yes,Yes,Yes,2021
429,OYU,Oysters dredge (Fov...,4172002,14950000,,,Yes,No,Yes,2021
430,SPD,Spiny dogfish,3591374,12660000,245000,245000,Yes,Yes,Yes,2021
431,GUR,Gurnard,3009781,6246187,18000,44000,Yes,Yes,Yes,2021
432,TRE,Trevally,2253876,3933103,1000,100000,Yes,Yes,Yes,2021
433,SCH,School shark,1856442,3436100,236000,202000,Yes,Yes,Yes,2021
434,CRA!,Spiny red rock lobst...,1834446,2733786,195500,279000,Yes,No,Yes,2021
435,BYX,Alfonsino & Long-fin...,1657125,2995700,2000,2000,Yes,Yes,Yes,2021
436,KAH,Kahawai,1487581,2728000,617000,2293000,Yes,Yes,Yes,2021
437,FLA,Flatfish,1153583,5121500,55000,177000,Yes,No,Yes,2021
438,ELE,Elephant fish,1017080,1463700,15000,30000,No,Yes,Yes,2021
439,RSK,Rough skate,806116,1986000,4000,4000,No,Yes,Yes,2021
440,GSH,Ghost shark,756951,3047000,0,2000,No,Yes,Yes,2021
441,HPB,Hapuku & Bass,659443,2181600,1000,195000,Yes,No,Yes,2021
442,COC,Cockle,636012,3214000,161000,221000,Yes,No,Yes,2021
443,SUR,Kina,550324,1147000,403000,325000,Yes,Yes,Yes,2021
444,CDL,Cardinal fish,523854,1979000,0,0,Yes,Yes,Yes,2021
445,WWA,White warehou,514558,3736000,6000,6000,No,Yes,Yes,2021
446,PAU,Black Paua & Yellowf...,414014,919064,42000,54500,Yes,No,Yes,2021
447,SSK,Smooth skate,349931,849000,4000,4000,No,Yes,Yes,2021
448,RBM,Ray's bream,324161,980000,5000,10000,No,Yes,Yes,2021
449,PIL,Pilchard,282775,2485000,29000,58000,Yes,No,Yes,2021
450,LDO,Lookdown dory,221686,783000,0,0,Yes,Yes,Yes,2021
451,GSC!,Giant spider crab,198140,513000,0,0, , ,Yes,2021
452,LEA,Leatherjacket,169653,1471000,4000,10000,No,Yes,Yes,2021
453,SWO,Swordfish,168337,885000,10000,20000,No,Yes,Yes,2021
454,PDO!,Southern tuatua,117388,1024000,73000,68000, , ,Yes,2021
455,TRU,Trumpeter,70225,147000,23000,40000,No,Yes,Yes,2021
456,LFE,Long-finned freshwat...,58460,137000,70680,39270, , ,Yes,2021
457,GLM,Green-lipped mussel,46833,1675000,467000,310000,Yes,No,Yes,2021
458,MMI!,Large trough shell,43881,814000,15000,1000, , ,Yes,2021
459,POR,Porae,34662,89000,6000,9000,No,Yes,Yes,2021
460,PAR,Parore,32222,84000,5000,9000,No,Yes,Yes,2021
461,SCC!,Sea cucumber,28244,100000,16000,24000, , ,Yes,2021
462,YFN,Yellowfin tuna,21888,263000,30000,60000,No,Yes,Yes,2021
463,MOO,Moonfish,19842,527000,0,0,No,Yes,Yes,2021
464,MAK,Mako shark,14206,200000,10000,30000,No,Yes,Yes,2021
465,YEM,Yellow-eyed mullet,9055,69000,36000,52000,Yes,No,Yes,2021
466,GAR,Garfish,4904,50000,25000,49000,Yes,No,Yes,2021
467,SCA!,Scallop,3098,492000,81500,81500,Yes,No,Yes,2021
468,KWH,Knobbed whelk,1165,67000,10000,10000, , ,Yes,2021
469,PRK,Prawn killer,35,36000,0,0, , ,Yes,2021
470,HOR!,Horse mussel,1,29000,9000,9000, , ,Yes,2021
471,BYS,Alfonsino,,,,, , ,Yes,2021
472,BAS,Bass,,,,, , ,Yes,2021
473,BOE,Black oreo,,,,,No,No,Yes,2021
474,BRI,Brill,,,,, , ,Yes,2021
475,ANG,Freshwater eels,,,,, , ,Yes,2021
476,RSO,Gemfish,,,,, , ,Yes,2021
477,GFL,Greenback flounder,,,,, , ,Yes,2021
478,MSP,Green-lipped mussel ...,,,,, , ,Yes,2021
479,ATT,Kahawai,,,,, , ,Yes,2021
480,LSO,Lemon sole,,,,, , ,Yes,2021
481,BYD,Longfinned beryx,,,,, , ,Yes,2021
482,LMU,Murray's king crab,,,,, , ,Yes,2021
483,NOG,NZ Northern arrow sq...,,,,, , ,Yes,2021
484,NOS,NZ Southern arrow sq...,,,,, , ,Yes,2021
485,PTO,Patagonian toothfish,,49500,0,0, , ,Yes,2021
486,REP,Rexea prometheoides,,,,, , ,Yes,2021
487,DSU!,Silky dosinia,,8000,,, , ,Yes,2021
488,SSO,Smooth oreo,,,,,No,No,Yes,2021
489,SPM,Stout sprat,,,,, , ,Yes,2021
490,JMD,Trachurus declivis,,,,, , ,Yes,2021
491,MDI!,Trough shell,,160000,0,0, , ,Yes,2021
492,TUR,Turbot,,,,, , ,Yes,2021
493,YBF,Yellowbelly flounder,,,,, , ,Yes,2021
494,SKJ,Skipjack tuna,4316511,,,,Yes,No,No,2021
495,OCT,Octopus,41801,,,, , ,No,2021
496,CAT,Brown bullhead catfi...,7103,,,, , ,No,2021
497,KOI,Koi carp,5169,,,, , ,No,2021
498,CAU,Goldfish,930,,,, , ,No,2021
499,CRB,Crab (Unspecified),274,,,, , ,No,2021
500,EEL,Eels Marine (Unspec...,159,,,, , ,No,2021
501,LES,Lessonia,46,,,, , ,No,2021
502,ATO,Antarctic toothfish,,,,, , ,No,2021
503,SME,Common smelt,,,,, , ,No,2021
504,GLX,Galaxiid (adult),,,,, , ,No,2021
505,GRA,Gracilaria weed,,,,, , ,No,2021
506,HSI,Jack-knife prawn,,,,, , ,No,2021
507,POY,Pacific oyster,,,,, , ,No,2021
508,ULV,Sea lettuce,,,,, , ,No,2021
509,STM,Striped marlin,,,,,No,Yes,No,2021
